Age,Source,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue, Ecommerce Conversion Rate 
25-34,google,11706,0.83,9753,0.45,3.48,153.20,0,0.00,0.00
18-24,google,10528,0.81,8506,0.40,3.44,152.55,0,0.00,0.00
35-44,google,8699,0.85,7420,0.48,3.32,128.24,0,0.00,0.00
45-54,google,7102,0.86,6115,0.47,3.24,121.79,0,0.00,0.00
55-64,google,5698,0.85,4837,0.45,3.45,130.03,0,0.00,0.00
65+,google,3491,0.85,2972,0.47,2.88,127.67,0,0.00,0.00
25-34,(direct),1281,0.81,1035,0.56,2.82,132.76,0,0.00,0.00
45-54,(direct),1231,0.81,994,0.56,3.33,152.56,0,0.00,0.00
35-44,(direct),1204,0.80,961,0.55,3.34,155.13,0,0.00,0.00
18-24,(direct),1071,0.80,858,0.58,3.21,168.42,0,0.00,0.00
55-64,(direct),972,0.90,873,0.59,2.70,121.24,0,0.00,0.00
65+,(direct),855,0.84,720,0.54,2.93,152.20,0,0.00,0.00
55-64,bing,745,0.86,642,0.53,2.97,116.43,0,0.00,0.00
45-54,bing,695,0.88,609,0.55,2.91,103.87,0,0.00,0.00
25-34,bing,621,0.80,496,0.48,3.06,120.15,0,0.00,0.00
35-44,bing,606,0.89,542,0.52,2.63,96.30,0,0.00,0.00
65+,bing,600,0.90,540,0.57,2.40,91.09,0,0.00,0.00
45-54,yahoo,506,0.85,428,0.50,3.42,138.32,0,0.00,0.00
55-64,yahoo,496,0.90,447,0.48,2.97,145.84,0,0.00,0.00
65+,yahoo,454,0.91,411,0.51,2.65,128.02,0,0.00,0.00
18-24,bing,418,0.78,327,0.46,3.06,149.61,0,0.00,0.00
35-44,yahoo,382,0.85,324,0.49,3.39,125.51,0,0.00,0.00
25-34,yahoo,273,0.86,234,0.46,3.12,130.25,0,0.00,0.00
18-24,yahoo,242,0.80,194,0.31,3.64,208.79,0,0.00,0.00
45-54,facebook,190,0.79,150,0.65,2.24,72.66,0,0.00,0.00
35-44,facebook,144,0.88,126,0.71,2.27,107.08,0,0.00,0.00
55-64,facebook,128,0.86,110,0.70,1.75,68.13,0,0.00,0.00
25-34,facebook,81,0.90,73,0.73,2.07,103.48,0,0.00,0.00
45-54,facebook,76,0.62,47,0.63,3.50,176.26,0,0.00,0.00
65+,newsletter,64,0.63,40,0.08,4.17,219.97,0,0.00,0.00
65+,facebook,60,0.73,44,0.72,1.43,45.12,0,0.00,0.00
35-44,facebook,58,0.36,21,0.45,5.09,440.17,0,0.00,0.00
55-64,newsletter,55,0.60,33,0.24,4.76,206.29,0,0.00,0.00
65+,aol,48,0.85,41,0.50,1.69,63.85,0,0.00,0.00
25-34,facebook,47,0.51,24,0.47,2.60,124.87,0,0.00,0.00
55-64,facebook,46,0.52,24,0.50,3.11,173.17,0,0.00,0.00
45-54,newsletter,44,0.52,23,0.34,4.02,154.93,0,0.00,0.00
18-24,facebook,39,0.46,18,0.51,3.38,256.33,0,0.00,0.00
35-44,newsletter,38,0.47,18,0.37,4.42,101.92,0,0.00,0.00
45-54,duckduckgo,35,0.77,27,0.51,1.71,68.97,0,0.00,0.00
65+,facebook,31,0.74,23,0.39,3.03,180.42,0,0.00,0.00
65+,duckduckgo,30,0.90,27,0.53,5.47,174.83,0,0.00,0.00
18-24,facebook,26,0.88,23,0.69,1.58,43.08,0,0.00,0.00
25-34,duckduckgo,26,0.65,17,0.58,3.46,251.96,0,0.00,0.00
25-34,newsletter,26,0.69,18,0.23,4.81,154.23,0,0.00,0.00
55-64,aol,26,0.62,16,0.46,1.58,16.96,0,0.00,0.00
55-64,duckduckgo,25,0.88,22,0.52,2.16,34.68,0,0.00,0.00
55-64,email,24,0.38,9,0.29,7.46,211.71,0,0.00,0.00
35-44,email,22,0.41,9,0.05,11.59,461.09,0,0.00,0.00
45-54,email,22,0.18,4,0.32,8.00,326.73,0,0.00,0.00
35-44,duckduckgo,19,0.79,15,0.74,1.47,23.42,0,0.00,0.00
25-34,email,18,0.44,8,0.06,6.39,144.11,0,0.00,0.00
45-54,facebook,17,0.71,12,0.76,1.24,6.41,0,0.00,0.00
35-44,facebook,15,0.73,11,0.60,3.13,55.00,0,0.00,0.00
25-34,facebook,14,0.86,12,0.57,2.71,105.21,0,0.00,0.00
18-24,duckduckgo,10,0.90,9,0.30,3.40,77.30,0,0.00,0.00
,,61511,0.84,51410,0.47,3.28,138.16,0,0.00,0.00
